# confusables.txt
# Ngày: 22/07/2025, 05:49:37 GMT
# © 2025 Unicode®, Inc.
# Unicode và Logo Unicode là các nhãn hiệu đã được đăng ký của Unicode, Inc. tại Hoa Kỳ và các quốc gia khác.
# Để biết các điều khoản sử dụng và giấy phép, vui lòng xem https://www.unicode.org/terms_of_use.html
#
# Cơ chế bảo mật Unicode cho UTS #39
# Phiên bản: 17.0.0
#
# Để biết tài liệu và hướng dẫn sử dụng, vui lòng xem https://www.unicode.org/reports/tr39
#
05AD ; 0596 ; MA # ( ֭ → ֖ ) GIỌNG HEBREW DEHI → GIẤC HEBREW TIPEHA #
0652 ; 030A ; MA # ( ْ → ̊ ) SUKUN Ả RẬP → VÒNG KẾT HỢP PHÍA TRÊN #
0B82 ; 030A ; MA # ( ஂ → ̊ ) DẤU HIỆU TAMIL ANUSVARA → VÒNG KẾT HỢP PHÍA TRÊN #
1036 ; 030A ; MA # ( ံ → ̊ ) MYANMAR SIGN ANUSVARA → COMBINING RING ABOVE #
17C6 ; 030A ; MA # ( ំ → ̊ ) KÝ HIỆU KHMER NIKAHIT → VÒNG KẾT HỢP Ở TRÊN #
11300 ; 030A ; MA # ( 𑌀 → ̊ ) GRANTHA DẤU HIỆU KẾT HỢP ANUSVARA Ở TRÊN → VÒNG KẾT HỢP Ở TRÊN # →ஂ→
0E4D ; 030A ; MA # ( ํ → ̊ ) CHỮ NIKHAHIT THÁI → VÒNG KẾT HỢP Ở TRÊN #
0ECD ; 030A ; MA # ( ໍ → ̊ ) LAO NIGGAHITA → KẾT HỢP VÒNG TRÊN #
0366 ; 030A ; MA # ( ͦ → ̊ ) CHỮ CÁI LATIN THƯỜNG KẾT HỢP O → VÒNG KẾT HỢP PHÍA TRÊN #
2DEA ; 030A ; MA # ( ⷪ → ̊ ) KẾT HỢP CHỮ CÁI CYRILLIC O → KẾT HỢP VÒNG TRÊN # →ͦ→

08EB ; 0308 ; MA # ( ࣫ → ̈ ) DẤU CHẤM HAI CHẤM TRÊN → DẤU CHẤM KẾT HỢP #
07F3 ; 0308 ; MA # ( ߳ → ̈ ) NKO KẾT HỢP DẤU CHẤM KÉP Ở TRÊN → KẾT HỢP DẤU CHẤM KÉP #

064B ; 030B ; MA # ( ً → ̋ ) ARABIC FATHATAN → COMBINING DOUBLE ACLET #
08F0 ; 030B ; MA # ( ࣰ → ̋ ) ARABIC OPEN FATHATAN → COMBINING DOUBLE ACCET # →ً→

0342 ; 0303 ; MA # ( ͂ → ̃ ) KẾT HỢP PERISPOMENI HY LẠP → KẾT HỢP DẤU NGÃ #
0653 ; 0303 ; MA # ( ٓ → ̃ ) MADDAH TIẾNG Ả RẬP Ở TRÊN → DẤU NGÃ KẾT HỢP #

05C4 ; 0307 ; MA # ( ׄ → ̇ ) DẤU CHẤM TRÊN CỦA TIẾNG HÊBƠ → DẤU CHẤM KẾT HỢP Ở TRÊN #
06EC ; 0307 ; MA # ( ۬ → ̇ ) DẤU CHẤM TRÒN CAO KIỂU Ả RẬP CÓ TRUNG TÂM ĐƯỢC TÔ ĐẦY → DẤU CHẤM KẾT HỢP Ở TRÊN #
0740 ; 0307 ; MA # ( ݀ → ̇ ) DẤU CHẤM GIỐNG CÁI TIẾNG SYRIAC → DẤU CHẤM KẾT HỢP PHÍA TRÊN # →݁→
08EA ; 0307 ; MA # ( ࣪ → ̇ ) ÂM ĐIỆU Ả RẬP MỘT DẤU CHẤM TRÊN → DẤU CHẤM KẾT HỢP TRÊN #
0741 ; 0307 ; MA # ( ݁ → ̇ ) SYRIAC QUSHSHAYA → COMBINING DOT ABOVE #
0358 ; 0307 ; MA # ( ͘ → ̇ ) DẤU CHẤM KẾT HỢP PHÍA TRÊN BÊN PHẢI → DẤU CHẤM KẾT HỢP PHÍA TRÊN #
05B9 ; 0307 ; MA # ( ֹ → ̇ ) DẤU CHẤM HOLAM TRONG TIẾNG DO THÁI → DẤU CHẤM KẾT HỢP Ở TRÊN #
05BA ; 0307 ; MA # ( ֺ → ̇ ) DẤU CHẤM HOLAM HASER TRONG TIẾNG DO THÁI CHO VAV → DẤU CHẤM KẾT HỢP Ở TRÊN # →ׁ→
05C2 ; 0307 ; MA # ( ׂ → ̇ ) DẤU CHẤM DO THÁI → DẤU CHẤM KẾT HỢP Ở TRÊN #
05C1 ; 0307 ; MA # ( ׁ → ̇ ) CHẤM SHIN CỦA TIẾNG HÊBƠ → CHẤM KẾT HỢP Ở TRÊN #
07ED ; 0307 ; MA # ( ߭ → ̇ ) NKO KẾT HỢP NGẮN TĂNG → KẾT HỢP DẤU CHẤM TRÊN #
0902 ; 0307 ; MA # ( ं → ̇ ) DEVANAGARI KÝ ANUSVARA → TỔNG HỢP CHẤM TRÊN #
0A02 ; 0307 ; MA # ( ਂ → ̇ ) GURMUKHI SIGN BINDI → KẾT HỢP DOT TRÊN #
0A82 ; 0307 ; MA # ( ં → ̇ ) GUJARATI SIGN ANUSVARA → KẾT HỢP CHẤM TRÊN #
0BCD; 0307 ; MA # ( ் → ̇ ) TAMIL SIGN VIRAMA → TỔNG HỢP DOT TRÊN #

0337 ; 0338 ; MA # ( ̷ → ̸ ) KẾT HỢP DẤU NỐI NGẮN → KẾT HỢP DẤU NỐI DÀI #

1AB7 ; 0328 ; MA # ( ᪷ → ̨ ) KẾT HỢP DẤU MỞ BÊN DƯỚI → KẾT HỢP OGONEK #
0322 ; 0328 ; MA # ( ̢ → ̨ ) KẾT HỢP MÓC PHẢN XẠ BÊN DƯỚI → KẾT HỢP OGONEK #
0345 ; 0328 ; MA # ( ͅ → ̨ ) KẾT HỢP YPOGEGRAMMENI HY LẠP → KẾT HỢP OGONEK #

1CD2 ; 0304 ; MA # ( ᳒ → ̄ ) ÂM ĐIỆU VEDIC PRENKHA → MACRON KẾT HỢP #
0305 ; 0304 ; MA # ( ̅ → ̄ ) KẺ TRÊN KẾT HỢP → MACRON KẾT HỢP #
0659 ; 0304 ; MA # ( ٙ → ̄ ) ARABIC ZWARAKAY → COMBINING MACRON #
07EB ; 0304 ; MA # ( ߫ → ̄ ) NKO KẾT HỢP ÂM CAO NGẮN → KẾT HỢP MACRON #
A6F1 ; 0304 ; MA # ( ꛱ → ̄ ) BAMUM COMBINING MARK TUKWENTIS → COMBINING MACRON #
1AE2 ; 0304 ; MA # ( ᫢ → ̄ ) KẾT HỢP DẤU TRỪ Ở TRÊN → KẾT HỢP MACRON #

1AE8 ; 0304 0304 ; MA # ( ᫨ → ̄̄ ) KẾT HỢP DẤU BẰNG Ở TRÊN → KẾT HỢP MACRON, KẾT HỢP MACRON #

1CDA ; 030E ; MA # ( ᳚ → ̎ ) ÂM ĐIỆU VEDIC KÉP SVARITA → KẾT HỢP DÒNG THẲNG ĐỨNG KÉP PHÍA TRÊN #

0657 ; 0312 ; MA # ( ٗ → ̒ ) DAMMA ĐẢO NGƯỢC Ả RẬP → KẾT HỢP DẤU PHẨY ĐẢO NGƯỢC Ở TRÊN #

0357 ; 0350 ; MA # ( ͗ → ͐ ) KẾT HỢP NỬA VÒNG TRÊN BÊN PHẢI → KẾT HỢP MŨI TÊN TRÊN BÊN PHẢI # →ࣿ→→ࣸ→
08FF ; 0350 ; MA # ( ࣿ → ͐ ) DẤU Ả RẬP NẰM NGANG GHUNNA → KẾT HỢP MŨI TÊN PHẢI PHÍA TRÊN # →ࣸ→
08F8 ; 0350 ; MA # ( ࣸ → ͐ ) MŨI TÊN PHẢI HƯỚNG LÊN TRÊN KIỂU Ả RẬP → MŨI TÊN PHẢI KẾT HỢP HƯỚNG LÊN TRÊN #

0900 ; 0352 ; MA # ( ऀ → ͒ ) DẤU DEVANAGARI ĐẢO NGƯỢC CANDRABINDU → KẾT HỢP FERMATA #

1AD9 ; 1AC6 ; MA # ( ᫙ → ᫆ ) DẤU THÁI KẾT HỢP → DẤU SỐ KẾT HỢP Ở TRÊN #

1E6EE ; 1AC8 ; MA # ( 𞛮 → ᫈ ) TAI YO SIGN AY → KẾT HỢP PLUS SIGN TRÊN #

1CED ; 0316 ; MA # ( ᳭ → ̖ ) DẤU HIỆU VEDIC TIRYAK → KẾT HỢP DẤU MỘ BÊN DƯỚI #

1CDC ; 0329 ; MA # ( ᳜ → ̩ ) ÂM VEDIC KATHAKA ANUDATTA → KẾT HỢP DÒNG DỌC DƯỚI ĐÂY #
0656 ; 0329 ; MA # ( ٖ → ̩ ) CHỮ CÁI PHỤ TRONG TIẾNG Ả RẬP → ĐƯỜNG KẺ DỌC KẾT HỢP BÊN DƯỚI #

1CD5 ; 032B ; MA # ( ᳕ → ̫ ) ÂM ĐIỆU VEDIC YAJURVEDIC NÂNG CAO ĐỘC LẬP SVARITA → KẾT HỢP VÒM ĐÔI ĐẢO NGƯỢC BÊN DƯỚI #

0347 ; 0333 ; MA # ( ͇ → ̳ ) KẾT HỢP DẤU BẰNG BÊN DƯỚI → KẾT HỢP DẤU HAI ĐƯỜNG THẤP #

08F9 ; 0354 ; MA # ( ࣹ → ͔ ) MŨI TÊN TRÁI KIỂU Ả RẬP BÊN DƯỚI → MŨI TÊN TRÁI KẾT HỢP BÊN DƯỚI #

08FA ; 0355 ; MA # ( ࣺ → ͕ ) MŨI TÊN PHẢI KIỂU Ả RẬP BÊN DƯỚI → MŨI TÊN PHẢI KẾT HỢP BÊN DƯỚI #

309B ; FF9E ; MA #* ( ゛ → ﾞ ) KATAKANA-HIRAGANA DẤU ÂM THANH CÓ THANH → KATAKANA NỬA DẤU ÂM THANH CÓ THANH #

309C ; FF9F ; MA #* ( ゜ → ﾟ ) KATAKANA-HIRAGANA DẤU ÂM BÁN THANH → KATAKANA NỬA THANH DẤU #

0336 ; 0335 ; MA # ( ̶ → ̵ ) KẾT HỢP LỚP PHỦ NÉT DÀI → KẾT HỢP LỚP PHỦ NÉT NGẮN #

302C ; 0309 ; MA # ( 〬 → ̉ ) DẤU THANH ĐIỆU TÁCH BIỂU TƯỢNG → MÓC KẾT HỢP PHÍA TRÊN #

05C5 ; 0323 ; MA # ( ׅ → ̣ ) DẤU CHẤM DƯỚI CỦA TIẾNG HÊBƠ → DẤU CHẤM KẾT HỢP BÊN DƯỚI #
08ED ; 0323 ; MA # ( ࣭ → ̣ ) ÂM ĐIỆU MỘT DẤU CHẤM BÊN DƯỚI → DẤU CHẤM KẾT HỢP BÊN DƯỚI #
1CDD ; 0323 ; MA # ( ᳝ → ̣ ) DẤU CHẤM ÂM VEDIC BÊN DƯỚI → DẤU CHẤM KẾT HỢP BÊN DƯỚI #
05B4 ; 0323 ; MA # ( ִ → ̣ ) DẤU CHẤM HÊBƠ HIRIQ → DẤU CHẤM KẾT HỢP BÊN DƯỚI #
065C ; 0323 ; MA # ( ٜ → ̣ ) DẤU NGUYÊN ÂM Ả RẬP DẤU CHẤM BÊN DƯỚI → DẤU CHẤM KẾT HỢP BÊN DƯỚI #
093C ; 0323 ; MA # ( ़ → ̣ ) DEVANAGARI SIGN NUKTA → COMBINING DOOT BELOW #
09BC ; 0323 ; MA # ( ় → ̣ ) BENGALI SIGN NUKTA → KẾT HỢP DOT DƯỚI ĐÂY #
0A3C ; 0323 ; MA # ( ਼ → ̣ ) GURMUKHI SIGN NUKTA → KẾT HỢP CHẤM DƯỚI ĐÂY #
0ABC; 0323 ; MA # ( ઼ → ̣ ) GUJARATI SIGN NUKTA → KẾT HỢP DOT DƯỚI ĐÂY #
0B3C ; 0323 ; MA # ( ଼ → ̣ ) ORIYA SIGN NUKTA → TỔNG HỢP CHẤM DƯỚI ĐÂY #
111CA; 0323 ; MA # ( 𑇊 → ̣ ) SHARADA SIGN NUKTA → TỔNG HỢP DOT DƯỚI ĐÂY # →़→
114C3 ; 0323 ; MA # ( 𑓃 → ̣ ) TIRHUTA SIGN NUKTA → TỔNG HỢP DOT DƯỚI ĐÂY # →়→
10A3A ; 0323 ; MA # ( 𐨺 → ̣ ) KHAROSHTHI DẤU CHẤM DƯỚI ĐÂY → TỔNG HỢP DOT DƯỚI ĐÂY #

08EE ; 0324 ; MA # ( ࣮ → ̤ ) ÂM HỌA HAI DẤU CHẤM BÊN DƯỚI → DẤU CHẤM KẾT HỢP BÊN DƯỚI #
1CDE ; 0324 ; MA # ( ᳞ → ̤ ) ÂM VEDIC HAI DẤU CHẤM BÊN DƯỚI → DẤU CHẤM KẾT HỢP BÊN DƯỚI #

0F37 ; 0325 ; MA # ( ༷ → ̥ ) TIBETAN MARK NGAS BZUNG SGOR RTAGS → KẾT HỢP NHẪN DƯỚI ĐÂY #
302D ; 0325 ; MA # ( 〭 → ̥ ) DẤU THANH NHẬP CHỮ TƯỢNG HÌNH → VÒNG KẾT HỢP BÊN DƯỚI #

0327 ; 0326 ; MA # ( ̧ → ̦ ) DẤU CHẤM KẾT HỢP → DẤU PHẨY KẾT HỢP BÊN DƯỚI # →̡→
0321 ; 0326 ; MA # ( ̡ → ̦ ) KẾT HỢP MÓC VÒM ÂM BÊN DƯỚI → KẾT HỢP DẤU PHẨY BÊN DƯỚI #
0339 ; 0326 ; MA # ( ̹ → ̦ ) KẾT HỢP NỬA VÒNG TRÒN BÊN PHẢI BÊN DƯỚI → KẾT HỢP DẤU PHẨY BÊN DƯỚI # →̧→→̡→

1CD9 ; 032D ; MA # ( ᳙ → ̭ ) TONE VEDIC YAJURVEDIC KATHAKA ĐỘC LẬP SVARITA SCHROEDER → KẾT HỢP GIẤY CIRCUMFLEX DƯỚI ĐÂY #

1CD8 ; 032E ; MA # ( ᳘ → ̮ ) ÂM ĐIỆU VEDIC CANDRA BÊN DƯỚI → KẾT HỢP BÊN DƯỚI #

0952 ; 0331 ; MA # ( ॒ → ̱ ) DEVANAGARI STRESS SIGN ANUDATTA → COMBINING MACRON BELOW #
0320 ; 0331 ; MA # ( ̠ → ̱ ) KẾT HỢP DẤU TRỪ BÊN DƯỚI → KẾT HỢP MACRON BÊN DƯỚI #

08F1 ; 064C ; MA # ( ࣱ → ٌ ) Ả Rập MỞ DAMMATAN → DAMMATAN Ả Rập #
08E8 ; 064C ; MA # ( ࣨ → ٌ ) DAMMATAN XOẮN Ả RẬP → DAMMATAN Ả Rập #
08E5 ; 064C ; MA # ( ࣥ → ٌ ) DAMMA QUAY Ả RẬP → DAMMATAN Ả RẬP #

FC5E ; FE72 0651 ; MA #* ( ‎ﱞ‎ → ‎ﹲّ‎ ) CHỮ LIÊN KẾT Ả RẬP SHADDA VỚI DẠNG TÁCH BIỆT DAMMATAN → DẠNG TÁCH BIỆT DAMMATAN Ả RẬP, SHADDA Ả RẬP #

08F2 ; 064D ; MA # ( ࣲ → ٍ ) Ả RẬP MỞ KASRATAN → Ả Rập KASRATAN #

FC5F ; FE74 0651 ; MA #* ( ‎ﱟ‎ → ‎ﹴّ‎ ) SHADDA CHỮ Ả RẬP VỚI MẪU ĐẶC BIỆT KASRATAN → MẪU ĐẶC BIỆT KASRATAN Ả RẬP, ARABIC SHADDA #

FCF2 ; FE77 0651 ; MA # ( ‎ﳲ‎ → ‎ﹷّ‎ ) CHỮ LIÊN KẾT Ả RẬP SHADDA VỚI DẠNG FATHA Ở GIỮA → DẠNG FATHA Ở GIỮA TRONG TIẾNG Ả RẬP, SHADDA # TRONG TIẾNG Ả RẬP

FC60 ; FE76 0651 ; MA #* ( ‎ﱠ‎ → ‎ﹶّ‎ ) CHỮ LIÊN KẾT Ả RẬP SHADDA VỚI FATHA DẠNG TÁCH BIỆT → DẠNG TÁCH BIỆT FATHA Ả RẬP, SHADDA Ả RẬP #

FCF3 ; FE79 0651 ; MA # ( ‎ﳳ‎ → ‎ﹹّ‎ ) SHADDA CHỮ Ả Rập VỚI HÌNH THỨC TRUNG TƯƠNG DAMMA → HÌNH THỨC TRUYỀN THÔNG DAMMA Ả Rập, SHADDA Ả Rập #

FC61 ; FE78 0651 ; MA #* ( ‎ﱡ‎ → ‎ﹸّ‎ ) CHỮ LIÊN KẾT Ả RẬP SHADDA VỚI DAMMA DẠNG TÁCH BIỆT → DAMMA Ả RẬP DẠNG TÁCH BIỆT, SHADDA Ả RẬP #

061A ; 0650 ; MA # ( ؚ → ِ ) KASRA Ả Rập NHỎ → KASRA Ả Rập #
0317 ; 0650 ; MA # ( ̗ → ِ ) KẾT HỢP DẤU NHẤN SẮC BÊN DƯỚI → KASRA Ả RẬP #

FCF4 ; FE7B 0651 ; MA # ( ‎ﳴ‎ → ‎ﹻّ‎ ) SHADDA CHỮ Ả RẬP VỚI HÌNH THỨC Y TẾ KASRA → MẪU MEDIAL KASRA Ả Rập, SHADDA Ả Rập #

FC62 ; FE7A 0651 ; MA #* ( ‎ﱢ‎ → ‎ﹺّ‎ ) CHỮ LIÊN KẾT Ả RẬP SHADDA VỚI DẠNG TÁCH BIỆT KASRA → DẠNG TÁCH BIỆT KASRA Ả RẬP, SHADDA Ả RẬP #

FC63 ; FE7C 0670 ; MA #* ( ‎ﱣ‎ → ‎ﹼٰ‎ ) CHỮ LIỀN Ả RẬP SHADDA VỚI CHỮ CÁI ALEF Ở DẠNG RIÊNG BIỆT → CHỮ CÁI SHADDA Ả RẬP Ở DẠNG RIÊNG BIỆT, CHỮ CÁI ALEF Ở DẠNG RIÊNG BIỆT #

065F ; 0655 ; MA # ( ٟ → ٕ ) Chữ HAMZA LÒNG SÓNG Ả RẬP BÊN DƯỚI → Chữ HAMZA Ả RẬP BÊN DƯỚI #

030D ; 0670 ; MA # ( ̍ → ٰ ) KẾT HỢP ĐƯỜNG THẲNG DỌC PHÍA TRÊN → CHỮ CÁI Ả RẬP CHỈ SỐ TRÊN ALEF #

0742 ; 073C ; MA # (  → ̼ ) SYRIAC RUKKAKHA → SYRIAC HBASA-ESASA DOTTED #

0A03 ; 0983 ; MA # ( ਃ → ঃ ) GURMUKHI SIGN VISARGA → BENGALI SIGN VISARGA #
0C03 ; 0983 ; MA # ( ః → ঃ ) TELUGU SIGN VISARGA → BENGALI SIGN VISARGA # →ਃ→
0C83 ; 0983 ; MA # ( ಃ → ঃ ) KANNADA SIGN VISARGA → BENGALI SIGN VISARGA # →ః→→ਃ→
0D03 ; 0983 ; MA # ( ഃ → ঃ ) MALAYALAM SIGN VISARGA → BENGALI SIGN VISARGA # →ಃ→→ః→→ਃ→
0D83 ; 0983 ; MA # ( ඃ → ঃ ) SINHALA SIGN VISARGAYA → BENGALI SIGN VISARGA # →ഃ→→ಃ→→ః→→ਃ→
1038 ; 0983 ; MA # ( း → ঃ ) MYANMAR SIGN VISARGA → BENGALI SIGN VISARGA # →ඃ→→ഃ→→ಃ→→ః→→ਃ→
114C1 ; 0983 ; MA # ( 𑓁 → ঃ ) TIRHUTA SIGN VISARGA → BENGALI SIGN VISARGA #

17CB ; 0E48 ; MA # ( ់ → ่ ) KHMER SIGN BANTOC → NHÂN VẬT THÁI MAI EK #
0EC8 ; 0E48 ; MA # ( ່ → ่ ) LAO TONE MAI EK → THÁI NHÂN MAI EK #

0EC9 ; 0E49 ; MA # ( ້ → ้ ) LAO TONE MAI THO → THÁI MAI THỌ #

0ECA; 0E4A ; MA # ( ໊ → ๊ ) LÀO TONE MAI TI → THÁI NHÂN MAI TRÍ #

0ECB ; 0E4B ; MA # ( ໋ → ๋ ) LAO TONE MAI CATAWA → NHÂN VẬT THÁI MAI CHATTAWA #

A66F ; 20E9 ; MA # ( ꙯ → ⃩ ) KẾT HỢP CYRILLIC VZMET → KẾT HỢP CẦU RỘNG PHÍA TRÊN #

2028 ; 0020 ; MA #* ( → ) DẤU PHÂN CÁCH → KHOẢNG TRỐNG #
2029 ; 0020 ; MA #* ( → ) DẤU PHÂN CÁCH ĐOẠN VĂN → KHOẢNG TRỐNG #
1680 ; 0020 ; MA #* ( → ) DẤU HIỆU KHÔNG GIAN OGHAM → KHÔNG GIAN #
